"Age","Athlete","Gold","Date","Date (String)","Country"
"31","Yordan Yovchev","false","2004-08-29","2004-08-29","Bulgaria"
"22","Oleksandr Beresh","false","2000-10-01","2000-10-01","Ukraine"
"22","Aleksey Bondarenko","false","2000-10-01","2000-10-01","Russia"
"27","Lee Ju-Hyeong","false","2000-10-01","2000-10-01","South Korea"
"19","Li Xiaopeng","true","2000-10-01","2000-10-01","China"
"21","Liu Xuan","true","2000-10-01","2000-10-01","China"
"18","Maria Olaru","true","2000-10-01","2000-10-01","Romania"
"20","Yelena Produnova","false","2000-10-01","2000-10-01","Russia"
"16","Andreea Raducan","true","2000-10-01","2000-10-01","Romania"
"20","Yang Wei","true","2000-10-01","2000-10-01","China"
"27","Yordan Yovchev","false","2000-10-01","2000-10-01","Bulgaria"
"29","Elisa Di Francisca","true","2012-08-12","2012-08-12","Italy"
"24","Arianna Errigo","true","2012-08-12","2012-08-12","Italy"
"31","Diego Occhiuzzi","false","2012-08-12","2012-08-12","Italy"
"19","Sun Yujie","true","2012-08-12","2012-08-12","China"
"38","Valentina Vezzali","true","2012-08-12","2012-08-12","Italy"
"29","Stefano Carozzo","false","2008-08-24","2008-08-24","Italy"
"28","Margherita Granbassi","false","2008-08-24","2008-08-24","Italy"
"25","Sada Jacobson","false","2008-08-24","2008-08-24","United States"
"27","Fabrice Jeannet","true","2008-08-24","2008-08-24","France"
"27","Nicolas Lopez","true","2008-08-24","2008-08-24","France"
